fighter,peak_rating
Jon Jones,1865.6154168528628
Georges St-Pierre,1835.2955903821542
Islam Makhachev,1820.7798886492637
Anderson Silva,1819.2889095292564
Charles Oliveira,1810.3182993314329
Kamaru Usman,1805.8965283969546
Tony Ferguson,1790.370470116793
Donald Cerrone,1789.1100888657068
Dustin Poirier,1788.8663444062058
Max Holloway,1786.6614208268875
Khabib Nurmagomedov,1774.8317206278118
Leon Edwards,1771.1657862568566
Stipe Miocic,1767.276127237146
Alexander Volkanovski,1766.636710890485
Chuck Liddell,1766.5054168970228
Daniel Cormier,1759.9659889537213
Demetrious Johnson,1759.8937065738937
Francis Ngannou,1758.8932619691207
Belal Muhammad,1757.7160156860991
Aljamain Sterling,1756.0561511292199
Glover Teixeira,1755.8521065164323
Amanda Nunes,1751.1891499633264
Demian Maia,1746.4505368503228
Israel Adesanya,1744.83062934145
Beneil Dariush,1743.8988885445785
Vicente Luque,1740.625871372223
Matt Hughes,1737.2839024325112
Robert Whittaker,1732.970671585022
Chris Weidman,1732.8339632571683
Derrick Lewis,1731.0768867076245
Rafael Dos Anjos,1725.6982870693485
Rashad Evans,1723.9936256872134
Frankie Edgar,1722.8145424386394
Cain Velasquez,1721.9674032600801
Michael Bisping,1721.935172638834
Deiveson Figueiredo,1721.1597885825222
Junior Dos Santos,1720.3589722746922
Andrei Arlovski,1719.2022965484068
Curtis Blaydes,1716.3267118751367
Gilbert Burns,1715.841230679483
Alex Pereira,1714.5305951882551
Royce Gracie,1713.6691028731395
Brendan Allen,1713.3702315537028
Valentina Shevchenko,1713.2796388310771
Jon Fitch,1711.3557426011032
Neil Magny,1710.6826108632106
Tito Ortiz,1710.4195390425116
Dricus Du Plessis,1710.3111763516488
Joseph Benavidez,1709.6656221965454
TJ Dillashaw,1709.5762802880622
Colby Covington,1708.165680241638
Anthony Johnson,1707.9762764399597
Derek Brunson,1705.8037357057926
Sean O'Malley,1702.7400662032778
Conor McGregor,1701.3075526875466
Ryan Bader,1701.256138936797
Johny Hendricks,1701.1128474728018
Magomed Ankalaev,1700.707505920371
Henry Cejudo,1700.1935354320708
Alexander Volkov,1700.02559264738
Tyron Woodley,1699.8644837188026
Robbie Lawler,1697.3790276034915
Yoel Romero,1697.2562216439476
Merab Dvalishvili,1697.0634610390973
Vitor Belfort,1695.7729023915597
Josh Koscheck,1694.6880666671093
Arnold Allen,1694.5401281891263
Sean Strickland,1692.451802750661
Marlon Vera,1692.161854113869
BJ Penn,1691.8106461721516
Tom Aspinall,1691.2527118437085
Jan Blachowicz,1691.045331390046
Jim Miller,1690.1444804220316
Rich Franklin,1689.5894897871412
Ciryl Gane,1688.8268739157372
Cory Sandhagen,1687.5568510488408
Alexandre Pantoja,1686.321607746478
Lyoto Machida,1685.851577338572
Yair Rodriguez,1685.4063469699568
Randy Couture,1684.2669943759633
Kenny Florian,1683.3542991739769
Francisco Trinaldo,1682.940096622087
Thiago Santos,1682.76844304892
Arman Tsarukyan,1681.8422683177819
Grant Dawson,1681.3797164357384
Darren Elkins,1680.4478738930718
John Lineker,1679.2874048419462
Fabricio Werdum,1678.7975293619081
Randy Brown,1678.722068964229
Justin Gaethje,1677.9490498274138
Jose Aldo,1677.9115260067392
Khamzat Chimaev,1677.7058659950108
Renato Moicano,1676.4312489775143
Yushin Okami,1676.0781571889083
Dong Hyun Kim,1675.588805487822
Gegard Mousasi,1675.3007373083828
Michael Chiesa,1674.2709851642678
James Vick,1674.077363572866
Ilia Topuria,1674.060147627154
Song Yadong,1673.9858931023925
Frank Mir,1673.9197929911213
Edson Barboza,1673.4544792532536
Kelvin Gastelum,1673.3280762755007
Jessica Andrade,1672.7677195559452
Kevin Lee,1671.8690482244251
Raphael Assuncao,1671.8388604191389
Jacare Souza,1671.502051879005
Thiago Alves,1671.3010350968034
Don Frye,1670.8447003603214
Jack Della Maddalena,1670.3640859233888
Shavkat Rakhmonov,1669.019826067856
Brian Ortega,1668.9598673736657
Matt Brown,1668.8263158124812
Benson Henderson,1668.6029134713099
Mike Swick,1668.5711542050458
Santiago Ponzinibbio,1668.390785498876
Zhang Weili,1668.3374095409317
Jorge Masvidal,1668.1919725716182
Ian Machado Garry,1667.4438276175104
Stephen Thompson,1666.5398303752202
Alistair Overeem,1666.3034649355047
Brandon Moreno,1664.7114867340747
Anthony Smith,1664.6637275457713
Michel Pereira,1663.690510558951
Gray Maynard,1663.2236624081584
Josh Emmett,1662.3391306634517
Dan Hooker,1661.789418342972
Evan Tanner,1660.6355688129925
Petr Yan,1660.4995079976666
Diego Sanchez,1659.7147051306627
Raquel Pennington,1659.5722044590862
Rory MacDonald,1659.5287646921918
Thales Leites,1658.8568672694607
Rose Namajunas,1658.5290588789076
Movsar Evloev,1657.7224230780055
Jared Cannonier,1656.9273921229476
Joaquin Buckley,1656.4626910801499
Mario Bautista,1656.3234323067247
Kevin Holland,1656.2470167892625
Michel Prazeres,1656.1962072339786
Dan Severn,1656.0992505326053
Jonathan Martinez,1655.6617372847866
George Sotiropoulos,1655.5917007327287
Tatiana Suarez,1655.5450949016722
Alexander Gustafsson,1654.0715773284894
Joanna Jedrzejczyk,1653.7409837488171
Sergei Pavlovich,1653.0499641554868
Cub Swanson,1652.4032065157933
Alex Oliveira,1651.5860339961873
Rani Yahya,1651.1010066794054
Nate Diaz,1650.9321341561101
Diego Ferreira,1650.8576423521156
Matt Hamill,1650.4337009660173
Renan Barao,1650.317633073367
Jailton Almeida,1649.6906684658645
Manon Fiorot,1649.5837752999234
Sean Brady,1649.5231033940745
Rob Font,1649.0116851072798
Mark Coleman,1647.7549587833403
Ricardo Lamas,1647.5239286127712
Al Iaquinta,1647.1132786765372
Caio Borralho,1646.8304900631254
Giga Chikadze,1646.7890537681437
Martin Kampmann,1646.6129901254985
Brad Tavares,1646.327120670228
Mateusz Gamrot,1646.1355764197444
Travis Browne,1645.7018787137272
Maycee Barber,1645.3689737162313
Ricky Simon,1644.988858794263
Phil Davis,1644.3368384130713
Leonardo Santos,1644.0839194265445
Stefan Struve,1643.5490122953909
Luke Rockhold,1643.2784275638955
Muhammad Mokaev,1643.238752996535
Gregor Gillespie,1642.636718114509
Tim Sylvia,1642.5754934540255
Chad Mendes,1642.574209402129
Nate Marquardt,1642.4929478838192
Tai Tuivasa,1641.3419682061315
Gleison Tibau,1640.9724338314452
Jake Ellenberger,1640.7598535277934
Drakkar Klose,1640.2196938161344
Dominick Reyes,1640.1516117860074
Rustam Khabilov,1640.0606861526603
Paddy Pimblett,1639.9144344050726
Ronda Rousey,1639.599464421585
Pat Miletich,1639.5610753957
Drew Dober,1639.3656524988523
Cody Garbrandt,1638.8490526514136
Geoff Neal,1638.4282603614522
Li Jingliang,1638.3640333591395
Umar Nurmagomedov,1637.6140642444038
Erin Blanchfield,1637.0173621695346
Carla Esparza,1636.407958306061
Pedro Munhoz,1636.3267953472644
Melvin Guillard,1636.215389607936
Matt Mitrione,1636.202314467641
Mike Pierce,1636.0776698939346
Jamahal Hill,1635.9888763684075
Nassourdine Imavov,1635.830666970357
Paul Felder,1635.6658165470783
Marcin Tybura,1635.583271845207
Jack Hermansson,1635.443407185725
Alex Morono,1634.9811765352997
Nik Lentz,1634.202012362317
Mark Munoz,1633.9853002719374
Montel Jackson,1633.8418994599544
Alan Belcher,1633.6623597543028
Elizeu Zaleski dos Santos,1633.655698713869
Daniel Rodriguez,1633.524110259167
Gunnar Nelson,1633.2286901253356
Uriah Hall,1633.004891296149
Marcus Davis,1632.9902193320186
Chris Gutierrez,1632.8718038467016
Corey Anderson,1632.6694551388578
Katlyn Cerminara,1632.559601920931
Dennis Bermudez,1631.0086784126063
Quinton Jackson,1630.8659537932353
Nikita Krylov,1630.2614835894403
Myles Jury,1630.0991300873097
Anthony Pettis,1629.8495730661384
Urijah Faber,1629.8370604818263
Marvin Vettori,1629.7618021949927
Ovince Saint Preux,1629.7434856976397
TJ Grant,1629.7111157631812
Lerone Murphy,1629.324712214787
Cheick Kongo,1629.3118124779173
Sergio Moraes,1629.22216656697
Rafael Fiziev,1629.0783499258084
Mairbek Taisumov,1629.0411674148177
Tatsuro Taira,1627.9560146755744
Chan Sung Jung,1627.54914193507
Jairzinho Rozenstruik,1626.7740777616345
Zak Cummings,1626.525944712822
Julianna Pena,1626.4281985842763
Jussier Formiga,1625.7928714684135
Zabit Magomedsharipov,1625.1934504996627
Michael Morales,1625.1181985828352
Joe Lauzon,1625.0745829881016
Roman Dolidze,1624.9583562463863
Norma Dumont,1624.8711320497425
Rick Story,1624.7978780300139
Serghei Spivac,1624.6148361429175
James Krause,1624.5615132958924
Jake Matthews,1624.1853693402827
Carlos Ulberg,1623.9917530814575
Natalia Silva,1623.7207226943901
Alonzo Menifield,1623.6337865421297
Mike Pyle,1623.4751563005746
Forrest Griffin,1623.4545167704034
Pedro Rizzo,1623.1506759647684
Amanda Lemos,1622.9861113480354
Paulo Costa,1622.9619242137992
Roger Huerta,1622.7119394076956
Ryan Spann,1622.5843640207192
Dennis Siver,1622.4851723789134
Ricco Rodriguez,1622.2007727006744
Dominick Cruz,1621.9314924494568
Paul Craig,1621.2778143792325
Alexa Grasso,1620.8390989638049
Francis Carmont,1620.4624493458473
Darren Till,1620.3720695349568
Germaine de Randamie,1620.3648148973855
Antonio Carlos Junior,1620.2044835901945
Bryce Mitchell,1619.8934423352061
Alex Caceres,1619.7849793746664
Matheus Nicolau,1619.730417502994
Josh Barnett,1619.6329651857384
Anthony Rocco Martin,1619.632686808775
Elias Theodorou,1619.5990490906747
Karo Parisyan,1619.0832869279332
Andre Muniz,1618.9533317077075
Jens Pulver,1618.7870657332571
Calvin Kattar,1618.3747508206213
Alejandro Perez,1618.3636428090051
Brandon Royval,1618.1563585478934
Mauricio Rua,1618.0534226438724
Said Nurmagomedov,1618.0068308596888
Mark Hunt,1617.93180058014
Frank Shamrock,1617.5644043990694
Diego Lopes,1617.5452814122089
Sam Alvey,1617.3079225853132
Khalil Rountree Jr.,1617.2938639866447
Olivier Aubin-Mercier,1617.141568006345
Rousimar Palhares,1617.0924161007763
Gregory Rodrigues,1616.5247815077544
Clay Guida,1616.484354264798
Aleksandar Rakic,1616.4217349790138
Omari Akhmedov,1616.0557219360007
Gabriel Gonzaga,1616.0379500277527
King Green,1615.9655480485287
Sodiq Yusuff,1615.474601117547
Yan Xiaonan,1615.1316899684907
Nate Quarry,1614.833711967252
Alex Perez,1614.7417219815104
John Dodson,1614.5608216302312
Evan Dunham,1614.3728381977796
Carlos Condit,1614.32838250302
Dan Ige,1614.0918061765328
Kyoji Horiguchi,1613.2732118708566
Michael Johnson,1612.9612822684342
Jimi Manuwa,1612.3415653340132
Matt Wiman,1612.2898263471563
Krzysztof Jotko,1612.1095700285682
Chris Leben,1611.7221603801395
Claudio Silva,1611.6732387497566
Marina Rodriguez,1611.4645605260414
Adrian Yanez,1611.1411984109704
Virna Jandiroba,1611.1195158987443
Mirsad Bektic,1610.9470695626678
Chas Skelly,1610.788525167792
Matt Lindland,1610.3189318318039
John Hathaway,1610.2713012669617
Joe Stevenson,1610.2280353437573
Shane Burgos,1610.087426658575
Nasrat Haqparast,1609.9925728443682
Joanderson Brito,1609.905116244263
Marlon Moraes,1609.8510859251467
Aleksei Oleinik,1609.805344219222
Jalin Turner,1609.7456629645292
Bryan Battle,1609.6486443633048
Tim Means,1609.3380130670264
Ilir Latifi,1609.1819550784985
Jimmie Rivera,1609.0936417205785
Cristiane Justino,1609.023508149927
Ken Shamrock,1608.9522245546702
Jeremy Stephens,1608.8223792885683
Alexandr Romanov,1608.66122117458
Benoit Saint Denis,1608.5373827690046
Kyung Ho Kang,1608.3335148094247
Daniel Kelly,1608.2169204639238
Johnny Walker,1608.1487140909069
Muslim Salikhov,1607.9378746636958
Thiago Silva,1607.3842456664338
David Teymur,1607.1340968956188
Amir Albazi,1606.9989919203645
Vinc Pichel,1606.9493574199207
Ben Rothwell,1606.8998983835327
Anthony Hernandez,1606.721889744722
Andre Petroski,1606.6061534926478
Marcos Rogerio de Lima,1606.5673858274497
Mackenzie Dern,1606.545670426422
Dan Henderson,1606.3497358645334
Steve Garcia,1606.2884840893917
Shane Carwin,1606.2672208431854
Ludovit Klein,1606.1337749293555
Joel Alvarez,1606.103425076566
Nicolas Dalby,1605.3570611211617
Macy Chiasson,1604.8186463079958
Kyler Phillips,1604.3866126143682
Raoni Barcelos,1603.9516165950436
Nathaniel Wood,1603.4909736619895
Ryan LaFlare,1603.406424727969
Roy Nelson,1603.2172408659658
Spencer Fisher,1603.1758581823904
Kurt Pellegrino,1602.636967452846
Jiri Prochazka,1602.6000810828639
Khaos Williams,1602.5642538595748
Ben Saunders,1602.4194378205423
JunYong Park,1602.3107960980008
Gillian Robertson,1602.097918522103
Oleg Taktarov,1601.743454596087
Cynthia Calvillo,1601.6973418213406
Jack Shore,1601.6002346008222
Tyson Griffin,1601.578294348987
Chris Daukaus,1601.5295641382825
Jonathan Pearce,1600.9967640205518
Kai Kara-France,1600.9635829927122
Abel Trujillo,1600.6622270364333
Jared Rosholt,1600.4751523032699
Tim Boetsch,1599.9739335030747
Erik Perez,1599.8270490918665
Cezar Ferreira,1599.6798312745752
Rafael Natal,1599.548731318302
Takeya Mizugaki,1599.5221986569588
Wilson Gouveia,1599.3941141064793
Azamat Murzakanov,1599.3581959141068
Brock Lesnar,1599.1549203674667
Gerald Meerschaert,1599.0255211462359
Sergio Pettis,1598.9441138173227
Iuri Alcantara,1598.602290031242
Bryan Caraway,1598.5529338327165
Misha Cirkunov,1598.0567429204593
Chael Sonnen,1598.0165269395313
Dustin Jacoby,1597.6358460895433
Yancy Medeiros,1597.486347023906
Sean Woodson,1597.0439463882865
Dan Hardy,1597.0303869475572
Yves Edwards,1596.9718724180252
Thiago Tavares,1596.615593969949
Ross Pearson,1596.544853664345
Warlley Alves,1596.5379341405524
Jeremiah Wells,1596.491193268562
Brandon Vera,1596.4560363138664
Irene Aldana,1596.3185431464478
Louis Smolka,1595.7963296918133
Constantinos Philippou,1595.6009334164899
Bryan Barberena,1595.422911198264
Volkan Oezdemir,1595.3589256629034
Vladimir Matyushenko,1595.2131925789542
Edmen Shahbazyan,1595.0727882600654
Sean Sherk,1595.071399451813
Ketlen Vieira,1595.0425084536269
Tecia Pennington,1594.9519301688476
Scott Holtzman,1594.4203694279884
Claudio Puelles,1593.7085550135223
Shawn Jordan,1593.6578058052498
Cole Miller,1593.3011306618737
Ryan Hall,1593.0886046183177
Jerry Bohlander,1593.0451595006139
Tracy Cortez,1592.9901653469572
Albert Tumenov,1592.9428103423306
Rinat Fakhretdinov,1592.7890595334095
Ed Herman,1592.5218925862205
Bruno Silva,1592.3959748903687
Mark Kerr,1592.090772682379
Karine Silva,1591.8568870017198
Niko Price,1591.5470836702555
Da Woon Jung,1591.4346105992645
Damir Ismagulov,1590.5096973887364
Amanda Ribas,1589.8038273197271
Alan Jouban,1589.4965197893534
Cody Stamann,1589.2580656721473
Michael McDonald,1589.0187077692763
CB Dollaway,1588.850210573014
Rashid Magomedov,1588.7992754613524
Casey Kenney,1588.764263454631
Brian Ebersole,1588.5830945905905
Thomas Almeida,1588.299811215775
Mike Russow,1588.0668193572674
Makwan Amirkhani,1588.0395920294357
Augusto Sakai,1588.0064173827648
Joe Solecki,1587.869514927967
Chad Laprise,1587.488391734247
Tabatha Ricci,1587.4321176905744
Fares Ziam,1587.1252029711209
Loopy Godinez,1587.065014261833
Nordine Taleb,1586.9293062113404
Laverne Clark,1586.766591534716
Mark Madsen,1586.45971910686
James Te Huna,1586.3988976143137
Stevie Ray,1585.9481946622604
Clint Hester,1585.8966855999279
Guy Mezger,1585.775038042029
Chepe Mariscal,1585.6492147116019
William Gomis,1585.5559587499822
Miranda Maverick,1585.4830622685304
Vitor Petrino,1585.3326338684092
Casey O'Neill,1584.9287487658528
Chris Wade,1584.9007926199322
Wilson Reis,1584.790268880312
Lauren Murphy,1584.776808553574
John Makdessi,1584.6911339235855
Felice Herrig,1584.545049353834
Nick Diaz,1584.491500425642
Steven Siler,1584.4259791796371
Chris Camozzi,1584.2728038794903
Danny Castillo,1584.1456412887098
Hakeem Dawodu,1583.8743597027092
Chris Curtis,1583.7173064069016
Dustin Ortiz,1583.585916952532
Alan Patrick,1583.4994888130088
John Howard,1583.4882166433126
Patrick Cote,1583.4083984801148
Johnny Case,1583.2794432462606
Erick Silva,1583.131103904719
Ricardo Ramos,1583.0817324339253
Jimmy Crute,1582.7881710439037
Dustin Hazelett,1582.7399267677654
Ignacio Bahamondes,1582.724652394091
John Moraga,1582.668795987435
Michal Oleksiejczuk,1582.5253734175808
Aaron Simpson,1582.421555667509
Kennedy Nzechukwu,1582.3932587999689
Mike Perry,1582.3307849838795
Jordan Johnson,1582.2437626798478
Brian Kelleher,1582.059166189997
Carlos Prates,1581.998418579167
Pat Sabatini,1581.9042952447496
David Loiseau,1581.8012107987304
Brad Riddell,1581.7861947155668
Justin Willis,1581.2188505036934
Ramazan Emeev,1581.1190600163893
Sage Northcutt,1581.1099052951402
Damon Jackson,1581.0120859488254
Jared Gordon,1580.9632220015692
Adriano Martins,1580.8701787250768
Krzysztof Soszynski,1580.859259749222
Mick Parkin,1580.8136408729702
Hermes Franca,1580.112813739641
Cathal Pendred,1580.0384268456892
Eddie Alvarez,1579.7847568779616
Brian Stann,1579.6176082147354
Shamil Abdurakhimov,1579.557686901088
Joe Pyfer,1579.5388179143886
Davi Ramos,1579.197370724964
Terry Etim,1579.0847330293618
Miles Johns,1578.875284983387
Andre Fili,1578.6998488882855
Trevin Giles,1578.5865579119252
Chris Lytle,1578.444368101054
Norman Parke,1578.2650323086261
Miguel Baeza,1578.1626049111483
Jean Silva,1578.1309521408016
Renato Sobral,1578.0894805735732
Antonio Rodrigo Nogueira,1577.958522710811
Brendan Schaub,1577.8288815184094
Matthew Riddle,1577.785038603241
Waldo Cortes-Acosta,1577.5068930937398
Dooho Choi,1577.3436634416953
Billy Quarantillo,1577.3364566721452
Abdul Razak Alhassan,1577.2798264848211
Jason Knight,1577.2377010968976
Mark Bocek,1577.0056784362555
Rodolfo Vieira,1576.7784210673299
Seth Baczynski,1576.503239900549
Martin Buday,1576.4400886773328
Diego Brandao,1576.3930337671072
Josh Samman,1576.3198544719185
Taylor Lapilus,1575.8661714903612
Rogerio Nogueira,1575.6466915580368
Carlston Harris,1575.4715712536317
Alexander Hernandez,1575.3445586625085
Marco Ruas,1575.3224361177938
Jason Lambert,1575.2377541438123
Jon Madsen,1574.5895267059548
Joe Duffy,1574.368147305556
Kyle Noke,1574.307813093993
Ray Borg,1574.2532948863895
David Abbott,1574.0809028099154
Keith Jardine,1574.0426363053018
Marion Reneau,1574.0054797805703
Paul Sass,1573.9516871958338
Chase Hooper,1573.893377095659
Mayra Bueno Silva,1573.8883594177828
JJ Aldrich,1573.8307760235857
Thiago Moises,1573.80062326887
Mike Malott,1573.7102518107206
